id,nama,lat,long,alamat,jam operasional,ket,img
1,KB bunga bangsa,-8.204962338,112.4654156,kalipare,07.00 - 12.00,Sekolah taman kanak-kanak,C:\Users\ASUS\Documents\anisa sem.4\Sistem Informasi Geografis\imgB\01.png
2,RA Al islah,-8.193313109,112.4674943,SK kalipare,07.00 - 12.00,Sekolah taman kanak-kanak,C:\Users\ASUS\Documents\anisa sem.4\Sistem Informasi Geografis\imgB\02.png
3,TK muslimat dewi,-8.209319252,112.4851895,C kalipare,07.00 - 12.00,Sekolah taman kanak-kanak,C:\Users\ASUS\Documents\anisa sem.4\Sistem Informasi Geografis\imgB\03.png
4,TK dharma wanita,-8.187572747,112.4612941,SW kalipare,07.00 - 12.00,Sekolah taman kanak-kanak,C:\Users\ASUS\Documents\anisa sem.4\Sistem Informasi Geografis\imgB\04.png
5,TK dewi m,-8.19500472,112.4839879,SP kalipare,07.00 - 12.00,Sekolah taman kanak-kanak,C:\Users\ASUS\Documents\anisa sem.4\Sistem Informasi Geografis\imgB\05.png
